DCHP3A,DCHP4A,DCHP4HRT,DCHP4HST,DCHPP3A,DCHPP4A,DCHWRNT,DCHWRT,DCHWSNF,DCHWSNT,DCHWSSF,DCHWSST,DCHWST,DCHWST2,DCRF1HRV,DCRF3HRV,DCHWDPL,DCHWDPS,DCHWP1RT,DCHWP1SP,DCHWP2RT,DCHWP2SP,DCHWSHON,DCHWNHON,DCHWP1SS,DCHWP2SS,DCHWRV,DCHWSNV,DCHWSSV,DCHWSV,DCRF1HSV,DCRF3HSV,DCHWEN,DCHWDP
-0.8025,51.487,100.72,115.01,-0.84,2.1825,77.165,68.612,0.062328,80.932,19.562,109.46,61.31,110.49,0,0,56.88,3,1406.2,57.015,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,2.8437
-0.8025,52.53,103.74,117.49,-0.84,2.1825,77.165,71.65,0.062328,80.932,20.687,111.47,64.336,113.42,0,0,57.881,3,1406.2,58.019,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,2.8906
-0.8025,53.52,106.8,120.84,-0.84,2.1825,76.147,76.687,0.062328,79.915,20.719,114.5,70.386,116.26,0,0,57.881,3,1406.2,58.019,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,2.8281
-0.8025,52.5,103.17,117,-0.84,2.1825,76.147,83.787,0.062328,79.915,20.719,114.48,77.44,114.56,0,0,58.915,3,1406.2,59.022,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,2.7812
-0.8025,52.5,103.17,116.72,-0.84,2.1825,76.147,87.8,0.062328,79.915,20.719,113.48,82.486,114.56,0,0,58.915,3,1406.2,59.022,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,2.8594
-0.8025,52.5,103.17,116.69,-0.84,2.1825,76.147,90.812,0.062328,79.915,20.719,113.48,85.538,114.76,0,0,59.955,3,1407.1,60.028,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,2.7812
-0.8025,54.585,109.37,122.17,-0.84,2.1825,76.147,92.825,0.062328,80.918,20.516,113.48,87.546,114.87,0,0,59.955,3,1407.1,60.028,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,3.0937
-0.8025,56.745,116.52,129.22,-0.84,2.1825,76.147,93.837,0.062328,80.918,20.641,122.61,88.563,123.36,0,0,59.955,3,1407.1,60.028,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,3.0469
-0.8025,-0.81751,110.44,114.61,-0.84,2.1825,76.147,93.837,0.062328,80.918,20.641,116.48,89.567,116.81,0,0,59.955,3,1407.1,60.028,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,3.0781
-0.8025,56.302,114.46,127.37,-0.84,2.1825,76.147,95.85,0.062328,80.918,19.547,119.52,90.571,120.72,0,0,59.955,3,1407.1,60.028,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,3.0625
-0.8025,-0.78,113.45,117.67,-0.84,2.1825,76.147,95.85,0.062328,81.936,20.594,120.51,91.589,120.27,0,0,59.955,3,1407.1,60.028,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,2.7812
-0.8025,55.312,113.44,126.54,-0.84,2.1825,76.147,96.862,0.062328,81.936,20.594,117.4,92.592,119.16,0,0,59.955,3,1407.1,60.028,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,2.75
-0.8025,-0.3975,115.43,119.01,-0.84,2.1825,76.147,96.862,0.062328,81.936,19.609,121.45,92.592,121.26,0,0,59.955,3,1407.1,60.028,1110.6,0,71,71,1,0,0,0,1,1,0,0,1,3.0781
-0.8025,53.22,103.85,117.7,-0.84,2.1825,76.147,95.85,0.062328,81.936,18.578,110.28,94.119,112.29,100,0,59.955,3,1407.1,60.028,1110.6,0,71,71,1,0,0,0,1,1,1,0,1,2.7812
-0.8025,53.22,105.89,118.77,-0.84,2.1825,76.147,95.85,0.062328,81.936,20.641,113.3,94.119,115.29,100,0,61.996,3,1407.1,62.037,1110.6,0,71,71,1,0,0,0,1,1,1,0,1,2.7656
-0.8025,53.22,103.88,117.09,-0.84,2.1825,76.147,96.85,0.062328,81.936,20.703,114.3,93.115,115.47,100,0,61.996,3,1407.1,62.037,1110.6,0,71,71,1,0,0,0,1,1,1,0,1,3.0781
-0.8025,55.29,111.02,123.39,-0.84,2.1825,76.147,96.85,0.062328,81.936,20.75,115.35,93.115,117.82,100,0,61.996,3,1407.1,62.037,1110.6,0,71,71,1,0,0,0,1,1,1,0,1,3.0312
-0.8025,57.33,117.08,129.37,-0.84,2.1825,76.147,96.85,0.062328,81.936,19.672,123.5,92.111,124.61,100,0,61.996,3,1408.1,62.037,1110.6,0,71,71,1,0,0,0,1,1,1,0,1,3.0469
-0.8025,-0.8325,110,114.44,-0.84,2.1825,76.147,96.85,0.062328,81.936,20.844,116.42,92.111,116.52,100,0,61.996,3,1408.1,62.037,1110.6,0,71,71,1,0,0,0,1,1,1,0,1,3.0937
-0.8025,53.647,105.26,118.31,-0.84,2.1825,76.147,97.875,0.062328,81.936,19.719,117.47,92.111,118.04,100,0,63.002,3,1408.1,62.037,1110.6,0,71,71,1,0,0,0,1,1,1,0,1,2.7344
-0.8025,53.647,108.27,121.07,-0.84,2.1825,76.147,97.875,0.062328,81.936,20.75,117.45,93.115,118.46,100,0,63.002,3,1408.1,62.037,1110.6,0,71,71,1,0,0,0,1,1,1,0,1,3.0625
-0.8025,53.647,107.26,120.15,-0.84,2.1825,76.147,97.875,0.062328,81.936,19.531,117.45,93.115,118.51,100,0,63.002,3,1408.1,62.037,1110.6,0,71,71,1,0,0,0,1,1,1,0,1,3.0781
-0.8025,52.642,105.24,117.81,-0.84,2.1825,76.147,97.875,0.062328,81.936,19.531,116.45,93.115,116.84,100,0,63.002,3,1408.1,62.037,1110.6,0,71,71,1,0,0,0,1,1,1,0,1,2.8125
-0.8025,53.79,108.39,121.42,-0.84,2.1825,69.011,89.587,8.7967,117.65,17.203,117.47,93.115,118.79,100,0,65.105,3,1408.1,65.431,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.5156
-0.8025,-0.84,102.3,107.09,1.725,2.1825,66.013,87.562,9.8123,109.57,19.281,109.38,93.115,109.57,100,0,69.2,3,1408.1,69.824,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.5781
-0.8025,24.105,90.021,100.42,-0.81751,2.1825,63.992,86.55,19.547,96.305,19.281,95.095,92.111,97.687,100,0,72.237,3,1408.1,71.881,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.8281
23.182,49.455,91.905,107.5,2.265,2.1825,66.013,86.55,20.5,100.36,19.219,99.165,91.094,102.32,100,0,73.259,3,1408.1,72.881,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.8437
25.087,50.512,95.975,111.12,2.265,2.1825,70.056,86.55,20.5,105.41,19.219,104.29,89.058,107.05,100,0,74.276,3,1408.1,74.923,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.8906
25.275,50.512,96.992,111.99,2.265,2.1825,74.126,87.562,20.5,107.43,20.172,106.32,88.055,108.71,100,0,75.283,3,1408.1,74.923,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0937
26.73,53.565,103.17,119.07,2.265,2.1825,77.165,87.562,20.5,110.44,19.125,109.38,87.051,111.97,100,0,75.283,3,1409.1,74.923,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0937
26.73,54.585,109.2,124.36,2.265,2.1825,79.186,88.575,21.515,117.56,20.172,116.52,87.051,118.21,100,0,75.283,3,1409.1,74.923,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0937
-0.8025,54.525,111.2,126.01,2.265,2.1825,80.203,89.587,21.515,120.59,20.172,119.61,87.051,119.56,100,0,75.283,3,1409.1,74.923,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0937
27.495,54.525,109.16,123.81,2.265,2.1825,83.228,91.625,21.515,116.53,19.125,115.51,88.068,117.12,100,0,75.283,3,1409.1,74.923,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0937
25.44,53.422,107.09,120.56,2.265,2.1825,85.263,93.637,21.515,118.58,19.125,117.51,90.117,118.32,100,0,75.283,3,1409.1,74.923,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0937
25.44,53.422,106.08,119.8,2.265,2.1825,87.285,94.637,21.515,117.56,19.031,116.49,91.121,117.12,100,0,75.283,3,1409.1,74.923,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0937
25.44,53.422,107.11,120.82,2.265,2.1825,89.292,95.65,21.515,117.56,19.031,116.49,92.125,117.36,100,0,75.283,3,1409.1,74.923,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.7344
-0.7875,55.582,112.21,127.09,2.265,2.1825,89.292,95.65,21.515,119.61,20.062,118.51,92.125,120.17,100,0,75.283,3,1409.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.75
27.187,55.567,112.21,126.07,2.265,2.1825,90.296,96.65,21.515,119.61,18.797,118.51,92.125,118.61,100,0,75.283,3,1409.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0469
0.14249,55.567,113.23,127.26,2.265,2.1825,90.296,96.65,21.515,120.62,19.828,119.53,93.17,120.17,100,0,76.313,3,1409.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.7344
-0.7575,56.602,114.28,128.65,2.265,2.1825,90.296,96.65,21.515,121.62,19.828,120.56,93.17,121.94,100,0,76.313,3,1409.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0625
23.19,54.48,110.18,123.3,2.265,2.1825,91.314,97.65,21.515,121.63,19.828,120.56,93.17,120.89,100,0,76.313,3,1409.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0625
24.21,54.48,110.21,122.8,2.265,2.1825,92.317,97.65,21.515,120.63,19.812,119.56,94.174,120.01,100,0,76.313,3,1410.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0469
24.21,54.48,110.21,122.7,2.265,2.1825,92.317,98.65,21.515,120.63,19.812,119.56,94.174,120.1,100,0,76.313,3,1410.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.7656
27.292,54.435,111.27,125.7,2.265,2.1825,92.317,98.65,21.515,118.62,19.812,117.54,94.174,118.22,100,0,76.313,3,1410.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0156
-0.7575,55.477,113.33,127.5,2.265,2.1825,92.317,98.65,21.515,120.67,19.734,119.58,94.174,119.95,100,0,76.313,3,1410.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.9531
-0.7575,55.477,113.33,127.09,2.265,2.1825,92.317,98.65,21.515,120.67,19.734,119.58,94.174,119.66,100,0,76.313,3,1410.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0469
0.089993,55.477,114.33,128.77,2.265,2.1825,92.317,98.65,21.515,121.69,19.734,120.62,94.174,121.96,100,0,76.313,3,1410.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.7344
22.177,54.457,111.29,123.64,2.265,2.1825,92.317,98.65,21.515,122.69,19.734,121.63,94.174,121.51,100,0,76.313,3,1410.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3
24.21,54.457,110.29,123.14,2.265,2.1825,92.317,98.65,21.515,121.69,19.734,119.63,94.174,120.46,100,0,76.313,3,1410.1,75.924,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0469
24.21,54.42,110.29,123.27,2.265,2.1825,92.317,98.65,21.515,121.69,19.734,119.63,94.174,120.36,100,0,76.313,3,1410.1,76.927,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0781
